name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Artemisia absinthium","Deliriant / Digestive Bitter","Avoid in epilepsy, pregnancy, kidney disease, and with CNS stimulants. Use caution with antidepressants or alcohol.","A bitter herb best known as the flavoring in traditional absinthe. Contains thujone, a GABA receptor antagonist that can cause excitatory and convulsive effects in high doses.","May reduce effectiveness of anticonvulsants. Dangerous with GABAergic drugs, alcohol, or stimulants.",,"Euphoria;Mild hallucinations;Stimulation;Appetite stimulant","artemisia-absinthium","Mild–Moderate","Thujone content regulated in beverages (e.g. EU and US); plant itself legal","Thujone is a GABA-A antagonist, reducing inhibitory signaling in the brain. At high doses, this may induce seizures or hallucinations. Also contains bitter principles that stimulate digestion.","15–45 min (oral alcohol extract)","Volatile oils (including thujone) are rapidly absorbed orally or via alcohol infusion. Thujone is metabolized in the liver and can cross the blood-brain barrier.","Typically infused into alcohol or taken as a bitter extract. Leaves may also be brewed as tea, though dosage must be controlled.","Europe, North Africa, Western Asia","Artemisia absinthium","Nausea, dizziness, vomiting, neurotoxicity at high doses. Prolonged use may irritate kidneys and liver.","🍸 Absinthium;⚠️ Neurotoxic;🌿 Bitter tonic;🧠 GABA-antagonist","Used as a bitter tonic for digestion, appetite stimulation, and historically as an anthelmintic. Occasionally explored for mood elevation in aromatherapy.","High doses or chronic use may lead to tremors, seizures, and neurotoxicity ('absinthism').","Thujone: ~87.5 mg/kg (rats, oral)",,,"artemisia-absinthium",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3265070/;Herbal Medicine: Biomolecular and Clinical Aspects, 2nd ed.;Journal of Ethnopharmacology, 2003","false",,,,"Wormwood","Thujone","Used in absinthe and traditional medicine for digestion and stimulation."
"Artemisia ludoviciana","Ethnobotanical",,"Also known as white sagebrush, used by Native American tribes for cleansing, dreams, and mild sedation.",,,"mild sedation;visionary;cleansing","artemisia-ludoviciana",,"Unknown","GABAergic + anticholinergic",,,,"North America","Artemisia ludoviciana",,"ritual;dream;folk medicine",,,,,,"artemisia-ludoviciana","Thujone;Camphor",,"false",,,,,,
"Mugwort","Dream Herb / Digestive / Traditional Witchcraft","Avoid during pregnancy. Caution with epilepsy or thujone sensitivity.","A classic European herb of the witches and dreamers. Mugwort is used for enhancing dreams, calming digestion, and connecting to inner visions. Often burned or used in dream pillows or teas.","May interact with sedatives, antiepileptics, or other bitter herbs.",,"Lucid dreaming;Menstrual regulation;Mild sedation;Bitter tonic","artemisia-vulgaris","Mild–Moderate","Legal worldwide (restricted in some for thujone)","Contains thujone, camphor, and cineole — which mildly affect GABA receptors and CNS function. Also acts as a bitter digestive and mild uterine tonic.","20–60 min","Orally, smoked, or inhaled. Onset 20–60 min. Duration 2–4 hrs depending on route.","Tea, tincture, incense, or smoked. Also used in salves or baths for ritual cleansing.","Europe, North America, Asia","Artemisia vulgaris","May cause nausea or dizziness. Thujone-related toxicity at high doses or in essential oil form.","🌙 Dream herb;🩸 Menstrual;🫖 Bitter tonic;🔥 Ritual","Used for dreamwork, menstruation regulation, cramping, bloating, and spiritual practices.","Low at traditional use levels. Essential oil is toxic if ingested.","~120 mg/kg (thujone, rats)",,,"artemisia-vulgaris",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313054/;Plants of the Gods – Rätsch;British Herbal Pharmacopoeia","false",,,,,,
"Artemisia vulgaris (Mugwort)","Oneirogen","Not well documented","Common European mugwort used in dream pillows and as bitter tonic.","Not well documented","Unknown","Lucid dreaming;light hallucinations","artemisia-vulgaris-mugwort","Mild","Legal / Unregulated","Unknown","5-15 min","Not well documented","Smoke, tea, or ritual incense","🇪🇺 Europe","Unknown","Not well documented","☕ brewable;✅ safe;🌬️ smokable;🕯️ ritual;🧠 dream","Not well documented","Unknown","Unknown",,"","artemisia-vulgaris-mugwort",,,,,"1",,,,
"Arundo donax","Psychoactive (Trace Tryptamines)","Avoid use due to gramine toxicity. Not a recommended DMT source.","A large reed grass native to Asia and the Mediterranean. It has been occasionally referenced as a possible tryptamine source, but psychoactive effects are not reliably established.","Dangerous with MAOIs or serotonergic drugs due to alkaloid unpredictability.",,"Unverified hallucinations;Mild sedation;Traditionally visionary (claimed)","arundo-donax","Minimal or none (unless potentiated with MAOIs)","Legal as an ornamental and biomass plant; some components (e.g., DMT) may be restricted in purified form.","Alkaloid content includes DMT, bufotenine, and gramine in trace amounts. Psychoactivity is speculative and likely inactive without MAOIs.","Varies; unclear due to poor oral bioavailability","Unclear. When used, it is typically in ayahuasca analogues where oral DMT activation requires MAOI co-administration.","Some experimental use involves root or stem extraction, often for use in ayahuasca analogs. Not traditionally consumed.","Mediterranean, Asia, naturalized worldwide","Arundo donax","Gramine is toxic; may cause nausea, convulsions, or hypotension. No established safety profile.","🌾 Reed;⚠️ Gramine-toxicity;🧪 Experimental","None clinically confirmed. Mentioned in some obscure entheogenic literature as a potential visionary aid.","Gramine is toxic and can affect neuromuscular function and blood pressure.","Gramine: 45–60 mg/kg (mice, intraperitoneal)",,,"arundo-donax",,"https://erowid.org/plants/arundo_donax/;Trout’s Notes on Some Other Ayahuasca Analog Plants;PubChem CID: 442018 (gramine)","false",,,,,,
"Asarum canadense","Medicinal / Aromatic","Avoid during pregnancy, liver disease, or prolonged use. Not recommended for large or chronic dosing.","A North American woodland herb known as Wild Ginger. While unrelated to true ginger, its rhizome has a pungent, spicy aroma and has been used traditionally by Indigenous peoples as a digestive aid and warming tonic.","May interfere with liver-metabolized drugs (CYP450 pathway). Avoid combining with hepatotoxic herbs or medications.",,"Warming;Digestive stimulant;Mild sedation;Aromatic","asarum-canadense","Mild","Legal; use restricted in commercial food products due to safrole","Contains volatile oils (e.g. methyl eugenol, safrole) that may stimulate digestive enzymes and act as mild CNS modulators. Safrole is a weak psychoactive and hepatotoxic compound.","30–60 min (oral)","Orally active. Volatile oils absorbed via mucosa and digestion. Safrole is metabolized in the liver and may accumulate over time.","Rhizome is dried, powdered, and used as tea or seasoning. Historically also used fresh in decoctions.","Eastern North America","Asarum canadense","High doses may cause nausea, vomiting, or liver stress due to safrole content. Some individuals may experience allergic reactions.","🌿 Rhizome;🌶️ Aromatic;⚠️ Safrole;🧑‍⚕️ Traditional medicine","Traditionally used for colds, coughs, indigestion, menstrual discomfort, and as an emetic in high doses.","Contains safrole, a known hepatocarcinogen in high doses. Rarely toxic acutely, but long-term use may pose risk.","Safrole: ~1950 mg/kg (rats, oral)",,,"asarum-canadense",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4428597/;Herbal Medicine: Expanded Commission E Monographs;PubChem CID: 8467 (safrole)","false",,,,,,
"Asclepias syriaca","Medicinal / Toxic","Should not be used with heart disease, diuretics, or digitalis compounds. Toxic in excess.","Common Milkweed is a native North American plant traditionally used by Indigenous peoples for treating warts, respiratory issues, and digestive complaints. However, it contains toxic cardiac glycosides.","May dangerously amplify effects of digoxin, beta-blockers, or diuretics.",,"Mild sedation;Cardiac influence;Anti-inflammatory","asclepias-syriaca","Mild (subtoxic dose) to Dangerous","Legal (not scheduled); some states advise caution with ingestion","Contains cardenolides (e.g., syriogenin) that affect cardiac muscle contractility by inhibiting Na+/K+-ATPase, similar to digoxin.","Varies (30–90 min orally)","Cardiac glycosides are absorbed through the GI tract and have a narrow therapeutic window. Onset and half-life vary based on preparation.","Young shoots and buds are edible when boiled thoroughly. Roots and sap were used externally or in decoctions traditionally.","Eastern and Central North America","Asclepias syriaca","Nausea, vomiting, dizziness, bradycardia, or arrhythmia at high doses. Skin irritation from sap.","🌱 Milkweed;⚠️ Cardiotoxic;🧪 Traditional use only","Historically used for lung and bronchial infections, warts, constipation, and as an emetic. Very limited modern therapeutic use due to toxicity.","Moderate to high; all parts of the plant can be toxic, especially latex sap and immature pods.","Estimated 75–150 mg/kg (mice, cardiac glycosides)",,,"asclepias-syriaca",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4271739/;North American Ethnobotany Database;HerbalGram. 2004; (63): 34–45.","false",,,,,,
"Ashwagandha",,"Pregnancy, thyroid issues.",,"Sedatives, thyroid meds.",,"","ashwagandha",,"Unknown","Modulates cortisol, GABAergic and serotonergic systems.",,"Oral; onset ~1–2 hrs (chronic benefits build over weeks).",,"Unknown",,"GI upset, drowsiness.",,"Stress, anxiety, strength, sleep support.",,"LD50 >2 g/kg (rats).",,,"ashwagandha",,,"true","https://upload.wikimedia.org/wikipedia/commons/8/81/Withania_somnifera_-_Köhler–s_Medizinal-Pflanzen-198.jpg",,,,,
"Asian Ginseng","Empathogen / Euphoriant","Hypertension","Classic tonic herb for stamina and cognition.","Stimulants, anticoagulants","6–8 hrs","vitality;adaptogen","panax-ginseng","Unknown","Legal","Ginsenosides modulate HPA axis and nitric oxide pathways","30–60 min","Slow cumulative effects with regular use","Root decoction or capsules","Asia","Panax ginseng","Headache, insomnia","🌿 root;💊 oral","Energy, immune support","Low",">2000 mg/kg (rats)","[object Object]","https://www.amazon.com/s?k=panax+ginseng","asian-ginseng",,,,,,"1–2 g dried root",,,
"Avena sativa","Nervine / Tonic","Caution with gluten intolerance or autoimmune sensitivity to oats (though oats are naturally gluten-free).","Common oats, when harvested as milky green tops or dried straw, are used as a gentle nervine tonic in Western herbalism. Renowned for its restorative effects on the nervous system and libido.","None significant reported. May synergize gently with other nervines or antidepressants.",,"Mild euphoria;Anxiolytic;Nourishing tonic;Cognitive support","avena-sativa","Mild","Legal worldwide","Contains avenanthramides (antioxidants), saponins, alkaloids, and B vitamins. May modulate GABAergic tone and reduce inflammation in the nervous system.","1–2 hours (oral); weeks for tonic effect","Orally active. Milky oat tops are tinctured; dried straw is brewed as tea. Constituents absorbed via digestion, often with slow onset.","Dried green tops tinctured in alcohol; straw used in infusion or bath. Milky tops best fresh.","Temperate regions globally (native to Europe and Southwest Asia)","Avena sativa","Very well tolerated. Rare allergy to oat proteins in sensitive individuals.","🌾 Nervine;🧠 Cognitive support;💚 Restorative;🫖 Tonic","Used for fatigue, nervous exhaustion, stress, sexual debility, and neuroinflammation. Traditionally seen as a long-term restorative.","Very low. Considered one of the safest tonic herbs.","No known LD50 in humans or animals for oat preparations",,,"avena-sativa",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5989095/;Medical Herbalism – David Hoffmann;The Earthwise Herbal – Matthew Wood","false",,,,,,
"Ayahuasca",,"SSRIs, bipolar disorder.",,"MAOIs, antidepressants.",,"","ayahuasca",,"Unknown","MAOIs + DMT activate serotonergic and hallucinogenic pathways.",,"Oral brew; onset ~30–60 min; duration ~4–6 hrs.",,"Unknown",,"Nausea, intense hallucinations.",,"Psychedelic therapy, depression, trauma.",,"Varies; psychological risks high.",,,"ayahuasca",,,"true","https://upload.wikimedia.org/wikipedia/commons/7/7c/Banisteriopsis_caapi.jpg",,,,,
"Bacopa",,"Ulcers, thyroid conditions.",,"Thyroid meds, sedatives.",,"","bacopa",,"Unknown","Enhances cholinergic transmission; antioxidant and neuroprotective.",,"Oral (capsules or tea); onset weeks (cumulative); acute onset ~60–90 min.",,"Unknown",,"GI discomfort, fatigue (rare).",,"Memory, anxiety reduction, learning.",,"LD50 >2000 mg/kg (rats).",,,"bacopa",,,"true","https://upload.wikimedia.org/wikipedia/commons/3/38/Bacopa_monnieri_W_IMG_1633.jpg",,,,,
"Bacopa monnieri","Empathogen / Euphoriant","Pregnancy, lactation, hypersensitivity to any component [0, 5].","Aquatic herb taken long-term to improve memory and concentration.","No major interactions documented; caution with sedatives [0, 5].","Unknown","Memory enhancer;mild calming","bacopa-monnieri","Mild","Legal / Unregulated","Contains bacosides A and B which enhance cholinergic transmission, antioxidant defenses, and modulate neurotransmitter levels (serotonin, dopamine) [0, 0, 0, 2].","30-60 min","Oral preparations (extracts or powder); onset 30–60 min; requires chronic dosing for peak cognitive benefits [0, 5].","Tea, capsule","🇮🇳 India","Unknown","Gastrointestinal upset (nausea, increased motility), fatigue, dry mouth [0, 5].","☕ brewable;✅ safe;💊 oral;💫 euphoria;🧘 sedation","Cognitive enhancement (memory, learning), anxiety reduction, ADHD management [0, 1, 0, 6].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6].",,"","bacopa-monnieri","Bacosides A and B",,"false",,"1",,,,
