Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Baptisia tinctoria,Baptisia tinctoria (L.) R. Br.,North America,Wild indigo; used historically for infections and immune support in Western herbalism.,"Immunostimulant, antimicrobial, anti-inflammatory",Alkaloids stimulate macrophage and lymphatic activity,"Infections, lymphatic congestion, sore throat","Nausea, vomiting at high doses","Pregnancy, autoimmune conditions",Immunosuppressants,Moderate,Legal,"Tincture, decoction",1–2 days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4606810/,"Alkaloids, flavonoids, polysaccharides",baptisia tinctoria
Berberis vulgaris,Berberis vulgaris L.,"Europe, North Africa, Western Asia","Barberry; traditional herb for liver, digestion, and infection.","Antimicrobial, hepatoprotective, cholagogue",Berberine inhibits bacterial DNA replication and modulates bile secretion,"Diarrhea, liver dysfunction, UTIs","Nausea, constipation (high doses)","Pregnancy, jaundice in newborns","Antibiotics, anticoagulants",Moderate,Legal,"Tincture, decoction, capsule",1–3 days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8901574/,"Berberine, berbamine, palmatine",berberis vulgaris
Betula lenta,Betula lenta L.,Eastern North America,"Sweet birch; contains methyl salicylate, used for pain and inflammation.","Analgesic, anti-inflammatory, diuretic",Methyl salicylate inhibits prostaglandin synthesis,"Joint pain, muscle ache, urinary issues","Skin irritation, salicylate sensitivity","Aspirin allergy, anticoagulant therapy","NSAIDs, blood thinners",Moderate,Legal,"Essential oil, decoction",1–2 hours,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302425/,"Methyl salicylate, betulin, tannins",betula lenta
Bidens pilosa,Bidens pilosa L.,Tropical and subtropical regions worldwide,"Beggar ticks; ethnomedicinal herb for infection, diabetes, and inflammation.","Antibacterial, antidiabetic, anti-inflammatory",Polyacetylenes and flavonoids inhibit microbial and inflammatory processes,"Wounds, diabetes, digestive disorders",Rare; GI discomfort in some cases,Pregnancy (limited data),"Antidiabetics, antibiotics",Low,Legal,"Tea, tincture, poultice",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7442350/,"Polyacetylenes, flavonoids, tannins",bidens pilosa
Boerhavia diffusa,Boerhavia diffusa L.,"India, Africa, tropical Asia","Ayurvedic herb known as Punarnava; used for mental clarity, detox, and longevity.","Mood stabilizer, mild sedative, neuroprotective",Lignans and alkaloids modulate GABA and dopamine systems,"Liver health, stress, memory","Mild hypotension, drowsiness",Low blood pressure,"Diuretics, sedatives",Low,Legal,"Powder, capsules, decoction",30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5407360/,"Punarnavine, boeravinone, lignans",boerhavia diffusa
Boophone disticha,Boophone disticha (L.f.) Herb.,Southern Africa,Hallucinogenic bulb with deep shamanic use; used in trance and initiation rituals.,"Delirium, trance, visions, emotional release",Alkaloids like buphanine interact with cholinergic systems,Psychospiritual trauma processing (ritualistic),"Toxic at high doses, vomiting, hallucinations","Heart issues, psychiatric conditions","MAOIs, anticholinergics",High,Legal (regulated in some areas),Bulb extract or powder (used cautiously),20–60 minutes,Very strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9657190/,"Buphanine, crinamine, alkaloids",boophone disticha
Borago officinalis,Borago officinalis L.,"Mediterranean, naturalized globally","Borage; rich in GLA, used for skin inflammation and hormonal balance.","Anti-inflammatory, galactagogue, demulcent",GLA modulates eicosanoid pathways,"Eczema, PMS, rheumatoid arthritis","Hepatotoxicity (pyrrolizidine alkaloids), GI issues","Liver disease, pregnancy (caution)","NSAIDs, anticoagulants",Moderate,Legal (some restrictions),"Oil, tea, capsule",1–7 days,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6520897/,"Gamma-linolenic acid (GLA), mucilage",borago officinalis
Boswellia serrata,Boswellia serrata Roxb. ex Colebr.,"India, North Africa, Middle East",Frankincense; resin used for joint and inflammatory conditions.,"Anti-inflammatory, analgesic, antimicrobial",Boswellic acids inhibit 5-LOX and leukotriene synthesis,"Arthritis, asthma, IBD","Mild GI upset, rash","Pregnancy (caution), autoimmune disease","NSAIDs, immunosuppressants",Low,Legal,"Extract, capsule, resin",3–7 days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6330525/,"Boswellic acids, essential oils",boswellia serrata
Brugmansia sanguinea,Brugmansia sanguinea (Ruiz & Pav.) D.Don,"Andes (Peru, Ecuador, Colombia)",Ornamental tree with potent tropane alkaloids; used ritually for visions by Andean shamans.,"Hallucinations, delirium, sedation","Scopolamine, atropine block muscarinic receptors (anticholinergic)",Traditional divination and pain relief,"Extreme confusion, amnesia, toxicity","Mental illness, heart disease","CNS depressants, anticholinergics",High,Regulated or restricted,Tea or smoked (dangerous); shamanic doses under supervision,30–60 minutes,Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7783010/,"Scopolamine, atropine",brugmansia sanguinea
Bryonia alba,Bryonia alba L.,"Europe, Western Asia","White bryony; vine with purgative and anti-inflammatory properties, used in homeopathy.","Laxative, anti-inflammatory, emetic",Cucurbitacins induce purgative and cytotoxic responses,"Constipation, arthritis (homeopathic use only)","Nausea, vomiting, severe GI irritation","Pregnancy, children, GI disorders",None established (not clinically used),High (fresh root),Not for internal use (regulated in EU),Diluted tincture in homeopathy,Variable,High (toxic),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7084073/,"Bryonin, cucurbitacins",bryonia alba
Bupleurum falcatum,Bupleurum falcatum L.,"East Asia, Europe","Chai Hu; traditional Chinese and Japanese herb used for liver, inflammation, and fevers.","Hepatoprotective, anti-inflammatory, immunomodulatory",Saikosaponins modulate cytokines and liver enzymes,"Hepatitis, stress, fevers, flu","Nausea, dizziness, lung inflammation (rare)","Autoimmune diseases, pregnancy","Immunosuppressants, corticosteroids",Low to moderate,Legal (TCM),"Decoction, capsule, TCM formulas",1–3 days,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8283131/,"Saikosaponins A, D, polysaccharides",bupleurum falcatum
Caesalpinia bonduc,Caesalpinia bonduc (L.) Roxb.,"Pantropical (Africa, India, Caribbean)",Used as an aphrodisiac and nervine tonic; contains CNS-active and anti-inflammatory compounds.,"Aphrodisiac, mood balancing, immune support",Flavonoids and fixed oils modulate inflammation and possibly CNS receptors,"Erectile dysfunction, neuralgia, inflammation","GI upset (rare), potential allergen","Pregnancy, autoimmune conditions","Immunosuppressants, NSAIDs",Low,Legal,Seed decoction or powder,1–2 hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3954953/,"Bonducin, linoleic acid, flavonoids",caesalpinia bonduc
Calea ternifolia,Calea ternifolia Kunth,"Mexico, Central America",‘Dream herb’ used by the Chontal people to induce lucid dreams and enhance dream recall.,"Lucid dreaming, sleep vividness",Unidentified sesquiterpene lactones may modulate sleep cycles,"Dream enhancement, sleep aid","Bitter taste, nausea","Pregnancy, sleep disorders",Sedatives,Low,Legal,"Tea, smoke, tincture",30–60 minutes (prior to sleep),Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7500555/,"Caleicins, germacranolides",calea ternifolia
Calendula officinalis,Calendula officinalis L.,"Europe, naturalized worldwide",Pot marigold; gentle anti-inflammatory and wound healing herb.,"Anti-inflammatory, vulnerary, antimicrobial",Triterpenoids and flavonoids inhibit COX and microbial enzymes,"Wounds, dermatitis, oral infections",Rare skin irritation (topical),Allergy to Asteraceae,None significant,Low,Legal,"Infusion, tincture, ointment",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8896564/,"Triterpenoids, flavonoids, saponins",calendula officinalis
Calliandra angustifolia,Calliandra angustifolia Spruce,Amazon Basin,Ayahuasca admixture and female fertility tonic; mild mental uplift reported.,"Mental clarity, vitality, slight euphoria",Tannins and flavonoids modulate inflammation and neurochemistry,"Fatigue, fertility, emotional balance",Unknown,Unknown,Unknown,Low,Legal,Root decoction or tincture,30–60 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8002187/,"Tannins, flavonoids, saponins",calliandra angustifolia
Calliandra anomala,Calliandra anomala Schltdl. & Cham.,Central and South America,Rarely documented legume species; used in traditional settings for mild calming and visionary states.,"Mild calm, possible visual enhancement",Unknown; possible serotonin modulation,"Ceremonial use, stress relief",Unreported,Unknown; insufficient data,Unknown,Unknown; appears low,Legal,Leaf or bark infusion (rare use),Unknown,Very mild,https://www.worldfloraonline.org/taxon/wfo-0000559981,Uncharacterized alkaloids and flavonoids (unconfirmed),calliandra anomala
Calotropis procera,Calotropis procera (Aiton) Dryand.,"Africa, South Asia, Middle East",Sodom apple; toxic shrub used in traditional medicine for pain and skin issues.,"Anti-inflammatory, analgesic, purgative",Cardiac glycosides and latex proteins disrupt pain and immune responses,"Rheumatism, skin ulcers (topical)","Severe GI distress, heart arrhythmias","Internal use, pregnancy, cardiac conditions",Cardiac medications,High,Caution advised,Latex or dried leaf for external use,Rapid (topical),Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8198827/,"Calotropin, uscharin, proteases",calotropis procera
Camellia sinensis,Camellia sinensis (L.) Kuntze,"Asia, global cultivation","Tea plant; source of green, black, and oolong teas with wide pharmacological benefits.","Stimulant, antioxidant, anti-inflammatory",Catechins and theanine modulate neurotransmitters and oxidative stress,"Cognitive function, metabolic syndrome, cardiovascular support","Insomnia, GI discomfort, iron absorption inhibition","Caffeine sensitivity, anemia","Stimulants, anticoagulants, beta-blockers",Low,Legal,"Infusion, extract, capsule",30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6520897/,"EGCG, caffeine, theanine, catechins",camellia sinensis
Cananga odorata,Cananga odorata (Lam.) Hook.f. & Thomson,"Indonesia, Southeast Asia",Ylang-ylang flowers used in aroma rituals for mood shifting and sensual euphoria.,"Relaxation, mild euphoria, altered perception (aromatic only)",Volatile oils affect GABAergic and dopaminergic activity,"Aromatherapy, anxiety, libido","Headache, nausea (overexposure)",Migraine sensitivity,None known,Low,Legal,Essential oil inhalation or diffusion,Immediate (aromatic),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5192342/,"Linalool, geranyl acetate, benzyl acetate",cananga odorata
Cannabis sativa,Cannabis sativa L.,Global (native to Central Asia),Cannabis; psychoactive and therapeutic plant used medicinally and recreationally.,"Analgesic, anxiolytic, antiemetic, psychoactive",THC and CBD interact with endocannabinoid CB1 and CB2 receptors,"Pain, epilepsy, nausea, PTSD, anxiety, MS","Dry mouth, altered cognition, dizziness, dependency","Psychosis, pregnancy, youth under 25","CNS depressants, antiepileptics",Low to moderate (dose-dependent),Varies by country; regulated/controlled,"Smoking, oil, extract, capsules",5–60 minutes (depends on route),Variable (mild to intense),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5312634/,"THC, CBD, terpenes, flavonoids",cannabis sativa
Capparis erythrocarpos,Capparis erythrocarpos Isert,West Africa,Traditional West African remedy used in dreamwork and purification ceremonies; rare data available.,"Purification, mental clarity, possible dream enhancement",Likely antioxidant and neuroactive via flavonoids and terpenes,"Mental clarity, liver support",Unknown,Unknown,Unknown,Presumed low,Legal,Leaves or bark in decoction,Varies,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8868592/,"Flavonoids, terpenes",capparis erythrocarpos
Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,Temperate regions worldwide,Shepherd’s purse; styptic and uterotonic herb used for bleeding and menstrual issues.,"Astringent, hemostatic, diuretic",Tannins and peptides constrict blood vessels,"Heavy menstruation, minor wounds, diarrhea","Possible hypotension, GI upset","Pregnancy, hypotension","Antihypertensives, anticoagulants",Low,Legal,"Tincture, tea, extract",1–2 hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6341159/,"Tannins, flavonoids, polypeptides",capsella bursa-pastoris
Capsicum annuum,Capsicum annuum L.,Tropical and temperate regions worldwide,"Chili pepper; stimulant and circulatory tonic, source of capsaicin.","Analgesic, stimulant, carminative","Capsaicin activates TRPV1 receptors, depleting substance P","Neuropathic pain, arthritis, digestion","Burning, GI irritation","Peptic ulcers, IBS, sensitive skin","ACE inhibitors, anticoagulants",Low,Legal,"Topical cream, tincture, food",Minutes to hours,Mild to strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4477151/,"Capsaicin, carotenoids, flavonoids",capsicum annuum
Carica papaya,Carica papaya L.,"Central America, tropical regions worldwide","Papaya; fruit and leaves used for digestion, worms, and inflammation.","Digestive, anti-inflammatory, anthelmintic",Papain enzyme aids protein digestion and reduces inflammation,"Indigestion, intestinal parasites, wound healing","Allergy, uterine stimulation (high doses)","Pregnancy, latex allergy","Antiplatelet drugs, blood thinners",Low to moderate,Legal,"Leaf decoction, juice, fruit, powder",1–2 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3614036/,"Papain, chymopapain, flavonoids",carica papaya
Casimiroa edulis,Casimiroa edulis La Llave & Lex.,"Mexico, Central America",‘White sapote’; fruit used as a sedative and mild hypnotic.,"Sedation, tranquil dreams",Sapotins modulate GABA receptors,"Anxiety, insomnia, restlessness","Drowsiness, dizziness","Pregnancy, heavy machinery use","CNS depressants, sedatives",Low to moderate (seeds more toxic),Legal,"Fruit pulp, tincture",20–45 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9276566/,"Casimiroin, sapotins",casimiroa edulis
Cassia occidentalis,Cassia occidentalis L.,Tropics worldwide,Used in Ayurveda and folk medicine; stimulant and psychoactive reports at high doses.,"Stimulation, focus, mild euphoria (dose dependent)","Anthraquinones and flavonoids influence CNS, unclear receptor targets","Fever, malaria, detox, energy","Hepatotoxicity, nausea, nervousness","Liver disorders, pregnancy",Hepatotoxic drugs,Moderate,Legal with warnings,"Tea, roasted seeds",30–60 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3078997/,"Emodin, aloe-emodin, chrysophanol",cassia occidentalis
Celastrus paniculatus,Celastrus paniculatus Willd.,"India, Nepal, Southeast Asia",‘Intellect tree’; traditional nootropic and dream aid in Ayurveda.,"Improved memory, mild euphoria, dream enhancement",Sesquiterpenes and alkaloids influence cholinergic and dopaminergic systems,"Memory loss, depression, sleep quality","Headache, stomach upset (rare)",Pregnancy,Antidepressants (potential additive effect),Low,Legal,"Seed oil, powder",30–90 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3975073/,"Celastrine, paniculatine, sesquiterpenes",celastrus paniculatus
Centaurium erythraea,Centaurium erythraea Rafn,"Europe, North Africa, Western Asia",Common centaury; bitter herb used for liver and digestion.,"Digestive stimulant, liver tonic, anti-inflammatory",Bitter iridoids stimulate gastric secretions and bile flow,"Loss of appetite, indigestion, liver congestion","GI irritation (rare), nausea","Gastric ulcer, pregnancy (limited data)","Acid reducers, antacids",Low,Legal,"Infusion, tincture, extract",30 minutes – 1 hour,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7102653/,"Swertiamarin, gentiopicrin, xanthones",centaurium erythraea
