id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
artemisia-vulgaris-mugwort,,Unknown,oneirogen,Mild,🇪🇺 europe,Legal / Unregulated,common european mugwort used in dream pillows and as bitter tonic.,Lucid dreaming;light hallucinations,Unknown,,☕ brewable;✅ safe;🌬️ smokable;🕯️ ritual;🧠 dream,not well documented,not well documented,,not well documented,1,not well documented,Unknown,Unknown,false,
arundo-donax,,Arundo donax,psychoactive (trace tryptamines),Minimal or none (unless potentiated with MAOIs),"mediterranean, asia, naturalized worldwide","Legal as an ornamental and biomass plant; some components (e.g., DMT) may be restricted in purified form.","a large reed grass native to asia and the mediterranean. it has been occasionally referenced as a possible tryptamine source, but psychoactive effects are not reliably established.",Unverified hallucinations;Mild sedation;Traditionally visionary (claimed),"Alkaloid content includes DMT, bufotenine, and gramine in trace amounts. Psychoactivity is speculative and likely inactive without MAOIs.",,🌾 reed;⚠️ gramine-toxicity;🧪 experimental,dangerous with maois or serotonergic drugs due to alkaloid unpredictability.,avoid use due to gramine toxicity. not a recommended dmt source.,,none clinically confirmed. mentioned in some obscure entheogenic literature as a potential visionary aid.,,"gramine is toxic; may cause nausea, convulsions, or hypotension. no established safety profile.",Gramine is toxic and can affect neuromuscular function and blood pressure.,"Gramine: 45–60 mg/kg (mice, intraperitoneal)",false,https://erowid.org/plants/arundo_donax/;Trout’s Notes on Some Other Ayahuasca Analog Plants;PubChem CID: 442018 (gramine)
asarum-canadense,,Asarum canadense,medicinal / aromatic,Mild,eastern north america,Legal; use restricted in commercial food products due to safrole,"a north american woodland herb known as wild ginger. while unrelated to true ginger, its rhizome has a pungent, spicy aroma and has been used traditionally by indigenous peoples as a digestive aid and warming tonic.",Warming;Digestive stimulant;Mild sedation;Aromatic,"Contains volatile oils (e.g. methyl eugenol, safrole) that may stimulate digestive enzymes and act as mild CNS modulators. Safrole is a weak psychoactive and hepatotoxic compound.",,🌿 rhizome;🌶️ aromatic;⚠️ safrole;🧑‍⚕️ traditional medicine,may interfere with liver-metabolized drugs (cyp450 pathway). avoid combining with hepatotoxic herbs or medications.,"avoid during pregnancy, liver disease, or prolonged use. not recommended for large or chronic dosing.",,"traditionally used for colds, coughs, indigestion, menstrual discomfort, and as an emetic in high doses.",,"high doses may cause nausea, vomiting, or liver stress due to safrole content. some individuals may experience allergic reactions.","Contains safrole, a known hepatocarcinogen in high doses. Rarely toxic acutely, but long-term use may pose risk.","Safrole: ~1950 mg/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4428597/;Herbal Medicine: Expanded Commission E Monographs;PubChem CID: 8467 (safrole)
asclepias-syriaca,,Asclepias syriaca,medicinal / toxic,Mild (subtoxic dose) to Dangerous,eastern and central north america,Legal (not scheduled); some states advise caution with ingestion,"common milkweed is a native north american plant traditionally used by indigenous peoples for treating warts, respiratory issues, and digestive complaints. however, it contains toxic cardiac glycosides.",Mild sedation;Cardiac influence;Anti-inflammatory,"Contains cardenolides (e.g., syriogenin) that affect cardiac muscle contractility by inhibiting Na+/K+-ATPase, similar to digoxin.",,🌱 milkweed;⚠️ cardiotoxic;🧪 traditional use only,"may dangerously amplify effects of digoxin, beta-blockers, or diuretics.","should not be used with heart disease, diuretics, or digitalis compounds. toxic in excess.",,"historically used for lung and bronchial infections, warts, constipation, and as an emetic. very limited modern therapeutic use due to toxicity.",,"nausea, vomiting, dizziness, bradycardia, or arrhythmia at high doses. skin irritation from sap.","Moderate to high; all parts of the plant can be toxic, especially latex sap and immature pods.","Estimated 75–150 mg/kg (mice, cardiac glycosides)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4271739/;North American Ethnobotany Database;HerbalGram. 2004; (63): 34–45.
ashwagandha,,,none,unknown,unknown,Unknown,none,,"Modulates cortisol, GABAergic and serotonergic systems.",,none,"sedatives, thyroid meds.","pregnancy, thyroid issues.",,"stress, anxiety, strength, sleep support.",,"gi upset, drowsiness.",,LD50 >2 g/kg (rats).,false,
withania-somnifera,,Withania somnifera,adaptogen / nervine / endocrine support,Mild–Moderate,"india, middle east, north africa",Legal worldwide,"one of the most revered herbs in ayurveda, ashwagandha is a potent adaptogen used to reduce stress, improve sleep, and balance the nervous and endocrine systems. often called 'indian ginseng'.",Stress reduction;Cortisol regulation;Sleep support;Cognitive enhancement,"Withanolides modulate the hypothalamic-pituitary-adrenal (HPA) axis, lower cortisol, reduce oxidative stress, and improve GABAergic signaling.",,🧘 adaptogen;💤 sleep;🧠 brain support;🌿 ayurvedic,"may enhance effects of sedatives, thyroid meds, or immunosuppressants.","avoid with hyperthyroidism, sedative medications, or during pregnancy without supervision.",,"used for anxiety, fatigue, insomnia, adrenal support, libido, thyroid balance, and immune modulation.",,mild gi upset or drowsiness. rare headaches or allergic reactions.,Very low. High doses may affect thyroid hormone levels.,">5000 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6979308/;Herbal Medicine – Mills & Bone;Indian Journal of Psychological Medicine, 2012"
panax-ginseng,,Panax ginseng,empathogen / euphoriant,Unknown,asia,Legal,classic tonic herb for stamina and cognition.,vitality;adaptogen,Ginsenosides modulate HPA axis and nitric oxide pathways,,🌿 root;💊 oral,"stimulants, anticoagulants",hypertension,1–2 g dried root,"energy, immune support",,"headache, insomnia",Low,>2000 mg/kg (rats),false,
avena-sativa,,Avena sativa,nervine / tonic,Mild,temperate regions globally (native to europe and southwest asia),Legal worldwide,"common oats, when harvested as milky green tops or dried straw, are used as a gentle nervine tonic in western herbalism. renowned for its restorative effects on the nervous system and libido.",Mild euphoria;Anxiolytic;Nourishing tonic;Cognitive support,"Contains avenanthramides (antioxidants), saponins, alkaloids, and B vitamins. May modulate GABAergic tone and reduce inflammation in the nervous system.",,🌾 nervine;🧠 cognitive support;💚 restorative;🫖 tonic,none significant reported. may synergize gently with other nervines or antidepressants.,caution with gluten intolerance or autoimmune sensitivity to oats (though oats are naturally gluten-free).,,"used for fatigue, nervous exhaustion, stress, sexual debility, and neuroinflammation. traditionally seen as a long-term restorative.",,very well tolerated. rare allergy to oat proteins in sensitive individuals.,Very low. Considered one of the safest tonic herbs.,No known LD50 in humans or animals for oat preparations,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5989095/;Medical Herbalism – David Hoffmann;The Earthwise Herbal – Matthew Wood
ayahuasca,,,none,unknown,unknown,Unknown,none,,MAOIs + DMT activate serotonergic and hallucinogenic pathways.,,none,"maois, antidepressants.","ssris, bipolar disorder.",,"psychedelic therapy, depression, trauma.",,"nausea, intense hallucinations.",,Varies; psychological risks high.,false,
bacopa,,,none,unknown,unknown,Unknown,none,,Enhances cholinergic transmission; antioxidant and neuroprotective.,,none,"thyroid meds, sedatives.","ulcers, thyroid conditions.",,"memory, anxiety reduction, learning.",,"gi discomfort, fatigue (rare).",,LD50 >2000 mg/kg (rats).,false,
bacopa-monnieri,,Unknown,empathogen / euphoriant,Mild,🇮🇳 india,Legal / Unregulated,aquatic herb taken long-term to improve memory and concentration.,Memory enhancer;mild calming,"Contains bacosides A and B which enhance cholinergic transmission, antioxidant defenses, and modulate neurotransmitter levels (serotonin, dopamine) [0, 0, 0, 2].",Bacosides A and B,☕ brewable;✅ safe;💊 oral;💫 euphoria;🧘 sedation,"no major interactions documented; caution with sedatives [0, 5].","pregnancy, lactation, hypersensitivity to any component [0, 5].",,"cognitive enhancement (memory, learning), anxiety reduction, adhd management [0, 1, 0, 6].",1,"gastrointestinal upset (nausea, increased motility), fatigue, dry mouth [0, 5].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6].",false,
bacopa-monnieri,,Unknown,empathogen / euphoriant,Mild,🇮🇳 india,Legal / Unregulated,aquatic herb taken long-term to improve memory and concentration.,Memory enhancer;mild calming,"Contains bacosides A and B which enhance cholinergic transmission, antioxidant defenses, and modulate neurotransmitter levels (serotonin, dopamine) [0, 0, 0, 2].",Bacosides A and B,☕ brewable;✅ safe;💊 oral;💫 euphoria;🧘 sedation,"no major interactions documented; caution with sedatives [0, 5].","pregnancy, lactation, hypersensitivity to any component [0, 5].",,"cognitive enhancement (memory, learning), anxiety reduction, adhd management [0, 1, 0, 6].",1,"gastrointestinal upset (nausea, increased motility), fatigue, dry mouth [0, 5].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6].","Generally non-toxic; no serious adverse effects at recommended doses; rodent LD50 not well established [0, 6].",false,
banisteriopsis-caapi,,Banisteriopsis caapi,maoi / entheogen,Moderate to profound (when combined),"amazon basin: peru, brazil, colombia",Plant is legal in many countries; brews may be scheduled depending on DMT laws,"the primary vine used in the sacred amazonian brew ayahuasca. contains harmala alkaloids that inhibit mao, enabling oral activation of dmt. revered as the 'vine of the soul' in indigenous ceremonies.",MAOI potentiation;Euphoria;Emotional release;Dreamlike states,"Contains harmine, harmaline, and tetrahydroharmine — reversible MAO-A inhibitors that also modulate serotonin and dopamine activity.",Harmine,🌿 vine;🧠 maoi;🌀 entheogen;⛔ ssri warning,major interaction risk with serotonergic agents. see maoi interaction lists.,"do not combine with ssris, stimulants, antipsychotics, or tyramine-rich foods.",,"used for trauma, addiction, depression, and spiritual exploration (in ceremonial or clinical settings). being studied for neurogenesis.",,"nausea, vomiting (purge), dizziness, emotional catharsis. rarely: serotonin syndrome if combined with contraindicated drugs.",Low when used alone. Overdose with other drugs can be fatal.,"Harmine LD50: ~500–750 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6082376/;Journal of Ethnopharmacology, 2010;MAPS Ayahuasca Research Summary"
baybean,,,none,unknown,unknown,Unknown,none,,Contains alkaloids with mild psychoactive potential; unclear exact MOA.,,none,unknown due to lack of research.,pregnancy; limited safety data.,,traditional smoking blend; relaxation.,,rare; may cause mild nausea or dizziness.,,Very limited data; considered safe traditionally.,false,
belladonna,,Unknown,deliriant / toxic,High,🌎 unknown / global,Controlled / Toxic,deadly nightshade once used for trance and as a cosmetic poison.,Hallucinations;dreamlike confusion,Tropane alkaloids block acetylcholine; causes anticholinergic delirium.,,☠️ toxic,"cns depressants, anticholinergic drugs.","cardiovascular disease, glaucoma, pregnancy.",,"historically used for pain, muscle spasms, and cosmetic dilation.",1,"dry mouth, hallucinations, delirium, elevated pulse.",Highly toxic; accidental ingestion can be fatal.,"Atropine LD50 (rat, oral): ~453 mg/kg.",false,
betel-nut,,Areca catechu,empathogen / euphoriant,Unknown,south and southeast asia,Unknown,"a widely used masticatory stimulant in asia and the pacific, often combined with lime and betel leaf.",Stimulation;warmth;mild euphoria,Arecoline acts as a muscarinic cholinergic agonist,,none,"stimulants, parasympathomimetics","pregnancy, cardiovascular conditions",,traditional digestive stimulant,,"addiction, oral cancer with chronic use",Unknown,Unknown,false,
